GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
work,ua.lviv.iot,StringProcessor,28,67,0,4,8,14,2,4,2,2
work,ua.lviv.iot,Main,16,0,0,0,6,0,2,0,2,0
